time,memb_voltage
390.7,-61.00589983576929
390.71000000000004,-61.00706972096812
390.72,-61.00823850724592
390.73,-61.00940621215373
390.74,-61.01057285311447
390.75,-61.01173844742095
390.76,-61.012903016616505
390.77,-61.01406658607158
390.78000000000003,-61.01522916484094
390.79,-61.01639077037714
390.8,-61.017551420046416
390.81,-61.01871113112848
390.82,-61.01986992081628
390.83,-61.02102780621583
390.84000000000003,-61.022184804346004
390.85,-61.02334093213829
390.86,-61.024496206436645
390.87,-61.02565064399724
390.88,-61.02680426148827
390.89,-61.027957075489766
390.90000000000003,-61.029109095417226
390.91,-61.030260323809166
390.92,-61.031410789907696
390.93,-61.03256050879105
390.94,-61.03370949536038
390.95,-61.03485776433657
390.96000000000004,-61.03600533025722
390.97,-61.03715220747343
390.98,-61.03829841014682
390.99,-61.03944395224632
391.0,-61.04058884754513
391.01,-61.04173310961757
391.02,-61.04287675183599
391.03000000000003,-61.04401978736771
391.04,-61.04516223660705
391.05,-61.046304127294825
391.06,-61.04744545808215
391.07,-61.04858624250862
391.08,-61.04972649398702
391.09000000000003,-61.050866225803375
391.1,-61.05200545111684
391.11,-61.05314418295978
391.12,-61.0542824342377
391.13,-61.055420217729285
391.14,-61.05655754608635
391.15000000000003,-61.057694431833845
391.16,-61.058830887369815
391.17,-61.05996692496546
391.18,-61.061102555654934
391.19,-61.0622377891517
391.2,-61.063372639464845
391.21000000000004,-61.06450711817233
391.22,-61.065641236710974
391.23,-61.06677500637595
391.24,-61.06790843832028
391.25,-61.069041543554405
391.26,-61.070174332945655
391.27,-61.07130681721782
391.28000000000003,-61.07243900695061
391.29,-61.073570912579214
391.3,-61.07470254439383
391.31,-61.07583391253915
391.32,-61.07696502779281
391.33,-61.07809590167088
391.34000000000003,-61.079226542358995
391.35,-61.080356959547316
391.36,-61.081487162788285
391.37,-61.082617161496415
391.38,-61.08374696494822
391.39,-61.08487658228199
391.40000000000003,-61.08600602249773
391.41,-61.087135294456914
391.42,-61.088264406882445
391.43,-61.08939336835844
391.44,-61.0905221873301
391.45,-61.09165087210359
391.46000000000004,-61.09277943286311
391.47,-61.093907881615344
391.48,-61.095036221835834
391.49,-61.09616446143001
391.5,-61.09729260817187
391.51,-61.09842066970405
391.52,-61.099548653537866
391.53000000000003,-61.10067656705337
391.54,-61.101804417499366
391.55,-61.102932211993505
391.56,-61.1040599575223
391.57,-61.105187660941176
391.58,-61.10631532897453
391.59000000000003,-61.107442968215786
391.6,-61.10857058512739
391.61,-61.10969818604093
391.62,-61.11082577715715
391.63,-61.11195336454598
391.64,-61.11308095414662
391.65000000000003,-61.11420855176755
391.66,-61.1153361630866
391.67,-61.116463802498856
391.68,-61.11759147170613
391.69,-61.118719173513874
391.7,-61.11984691333545
391.71000000000004,-61.12097469646734
391.72,-61.12210252808951
391.73,-61.123230413265816
391.74,-61.12435835694428
391.75,-61.125486363957506
391.76,-61.12661443902302
391.77,-61.12774258674362
391.78000000000003,-61.12887081160777
391.79,-61.12999911798986
391.8,-61.131127510150684
391.81,-61.13225599223773
391.82,-61.13338456828554
391.83,-61.13451324221609
391.84000000000003,-61.1356420178391
391.85,-61.13677089885246
391.86,-61.137899888842526
391.87,-61.13902899339999
391.88,-61.140158223190035
391.89,-61.1412875743461
391.90000000000003,-61.14241705024036
391.91,-61.14354665414746
391.92,-61.144676389245156
391.93,-61.145806258614975
391.94,-61.1469362652428
391.95,-61.14806641201958
391.96000000000004,-61.149196701741914
391.97,-61.15032713711269
391.98,-61.15145772074176
391.99,-61.15258845514657
392.0,-61.15371934275277
392.01,-61.15485038589487
392.02,-61.15598158681689
392.03000000000003,-61.15711294767299
392.04,-61.158244470528096
392.05,-61.159376157358544
392.06,-61.16050801005275
392.07,-61.1616400304118
392.08,-61.16277222467442
392.09000000000003,-61.16390459336268
392.1,-61.16503713611865
392.11,-61.16616985454846
392.12,-61.16730275018191
392.13,-61.1684358244733
392.14,-61.169569078802255
392.15000000000003,-61.17070251447453
392.16,-61.1718361327228
392.17,-61.17296993470757
392.18,-61.17410392151786
392.19,-61.175238094172144
392.2,-61.17637245361908
392.21000000000004,-61.17750700073838
392.22,-61.178641736341596
392.23,-61.17977666117295
392.24,-61.180911775910154
392.25,-61.182047081165216
392.26,-61.18318257748526
392.27,-61.18431826535337
392.28000000000003,-61.18545414539411
392.29,-61.18659021934809
392.3,-61.18772648628262
392.31,-61.188862946468575
392.32,-61.18999960011874
392.33,-61.19113644738871
392.34000000000003,-61.192273488377765
392.35,-61.193410723129674
392.36,-61.19454815163363
392.37,-61.195685773825055
392.38,-61.19682358958649
392.39,-61.197961598748435
392.40000000000003,-61.19909980109025
392.41,-61.20023819634095
392.42,-61.20137678418013
392.43,-61.20251556423881
392.44,-61.20365453610028
392.45,-61.20479369930096
392.46000000000004,-61.20593305333129
392.47,-61.207072597636554
392.48,-61.208212331617766
392.49,-61.20935225383484
392.5,-61.21049236362058
392.51,-61.21163266072486
392.52,-61.21277314435053
392.53000000000003,-61.2139138136589
392.54,-61.21505466777057
392.55,-61.21619570576627
392.56,-61.21733692668764
392.57,-61.218478329538115
392.58,-61.219619913283694
392.59000000000003,-61.220761676853826
392.6,-61.221903619142154
392.61,-61.22304573900743
392.62,-61.224188035274274
392.63,-61.22533050673403
392.64,-61.226473152145594
392.65000000000003,-61.22761597023623
392.66,-61.22875895970236
392.67,-61.22990211921048
392.68,-61.2310454473979
392.69,-61.232188942718594
392.7,-61.23333260062973
392.71000000000004,-61.23447642244381
392.72,-61.23562040665034
392.73,-61.23676455171221
392.74,-61.23790885606649
392.75,-61.23905331812517
392.76,-61.24019793627605
392.77,-61.24134270888345
392.78000000000003,-61.24248763428907
392.79,-61.24363271081274
392.8,-61.244777936753245
392.81,-61.245923310389124
392.82,-61.24706882997946
392.83,-61.248214493764664
392.84000000000003,-61.2493602999673
392.85,-61.250506246792845
392.86,-61.25165233243053
392.87,-61.2527985550541
392.88,-61.25394491282265
392.89,-61.25509140388135
392.90000000000003,-61.25623802636236
392.91,-61.25738477838549
392.92,-61.25853165805912
392.93,-61.2596786634809
392.94,-61.26082579273861
392.95,-61.261973043910935
392.96000000000004,-61.26312041506827
392.97,-61.26426789806227
392.98,-61.2654154933376
392.99,-61.266563201310916
393.0,-61.26771101991968
393.01,-61.2688589470927
393.02,-61.2700069807509
393.03000000000003,-61.271155118808004
393.04,-61.27230335917127
393.05,-61.27345169974222
393.06,-61.27460013841736
393.07,-61.275748673088906
393.08,-61.276897301645484
393.09000000000003,-61.278046021972884
393.1,-61.27919483195475
393.11,-61.28034372947331
393.12,-61.281492712410135
393.13,-61.282641778646806
393.14,-61.28379092606567
393.15000000000003,-61.28494015255056
393.16,-61.286089455987494
393.17,-61.287238834265416
393.18,-61.28838828527692
393.19,-61.28953780691897
393.2,-61.29068739709362
393.21000000000004,-61.29183705370873
393.22,-61.29298677467868
393.23,-61.29413655792512
393.24,-61.29528639640213
393.25,-61.29643628233133
393.26,-61.297586222023476
393.27,-61.298736213262174
393.28000000000003,-61.29988625383483
393.29,-61.301036341533276
393.3,-61.30218647415437
393.31,-61.30333664950058
393.32,-61.3044868653806
393.33,-61.30563711960994
393.34000000000003,-61.30678741001152
393.35,-61.30793773441626
393.36,-61.3090880906637
393.37,-61.3102384766026
393.38,-61.311388890091514
393.39,-61.31253932899941
393.40000000000003,-61.313689791206265
393.41,-61.31484027460363
393.42,-61.31599077709531
393.43,-61.31714129659785
393.44,-61.31829183104125
393.45,-61.31944237836947
393.46000000000004,-61.3205929365411
393.47,-61.32174350352987
393.48,-61.32289407732536
393.49,-61.3240446559335
393.5,-61.325195237377244
393.51,-61.326345819664894
393.52,-61.327496381310006
393.53000000000003,-61.32864693697884
393.54,-61.329797484542
393.55,-61.330948021880864
393.56,-61.332098546888034
393.57,-61.33324905746773
393.58,-61.33439955153626
393.59000000000003,-61.33555002702244
393.6,-61.336700481868036
393.61,-61.33785091402819
393.62,-61.33900132147188
393.63,-61.34015170218234
393.64,-61.34130205415749
393.65000000000003,-61.34245237541037
393.66,-61.3436026639696
393.67,-61.34475291787978
393.68,-61.345903135201986
393.69,-61.347053314014126
393.7,-61.34820345241143
393.71000000000004,-61.3493535485069
393.72,-61.350503600431665
393.73,-61.35165360633551
393.74,-61.352803564387266
393.75,-61.35395347277525
393.76,-61.35510332970771
393.77,-61.35625313341323
393.78000000000003,-61.357402882141244
393.79,-61.35855256333412
393.8,-61.359702178244525
393.81,-61.36085173033248
393.82,-61.36200121773324
393.83,-61.36315063859696
393.84000000000003,-61.36429999108899
393.85,-61.365449273390105
393.86,-61.36659848369688
393.87,-61.36774762022196
393.88,-61.36889668119433
393.89,-61.37004566485963
393.90000000000003,-61.37119456948048
393.91,-61.37234339333668
393.92,-61.373492134725616
393.93,-61.3746407919625
393.94,-61.37578936338066
393.95,-61.37693784733186
393.96000000000004,-61.37808624218657
393.97,-61.37923454633427
393.98,-61.38038275818376
393.99,-61.38153087616342
394.0,-61.38267889872155
394.01,-61.38382682432665
394.02,-61.384974651467665
394.03000000000003,-61.38612237865436
394.04,-61.38727000441756
394.05,-61.388417527309464
394.06,-61.38956494121627
394.07,-61.390712237115395
394.08,-61.3918594233963
394.09000000000003,-61.39300649850966
394.1,-61.39415346092131
394.11,-61.395300309112386
394.12,-61.396447041579535
394.13,-61.397593656835035
394.14,-61.39874015340697
394.15000000000003,-61.399886529839385
394.16,-61.40103278469245
394.17,-61.402178916542596
394.18,-61.403324923982744
394.19,-61.40447080562238
